symbol,sector,action,action_rank,decision_source,decision_engine,heuristic_action,llm_action,llm_status,decision_agreement,confidence,score_3m,score_1y,composite,technical_score,flow_score,fundamental_quality_score,valuation_score,insight_score,risk_penalty,current_price,entry_price_low,entry_price_high,stop_loss,base_target,bull_target,bear_target,expected_return,risk_reward,prob_bear,prob_base,prob_bull,suggested_quantity,suggested_position_value,buy_strategy,reason,heuristic_reason,llm_reason,llm_error,errors_count
NAB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6232,63.0,61.300000000000004,62.32,87.0,48.0,50.0,68.0,55.0,0.0,13050.0,12919.5,13180.5,12658.5,14222.9637,15076.341522,12089.519145,0.08259053923548443,2.9960758620689663,0.21165531435984952,0.37071288669599556,0.4176317989441549,11494,149996700.0,wait,"Heuristic decision from composite=62.3, R/R=3.00, expected_return=8.26%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=62.3, R/R=3.00, expected_return=8.26%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=62.3, R/R=3.00, expected_return=8.26%, setup=PULLBACK_TO_MA20.",,0
MBB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6075800000000001,59.876000000000005,62.08100000000001,60.75800000000001,58.0,56.0,66.71000000000001,69.34,60.0,0.0,23950.0,23710.5,24189.5,23471.0,32750.017533333335,34715.01858533334,23123.320695129398,0.31098408876733874,18.371644119693812,0.2195811613272145,0.39268741056652123,0.3877314281062642,6263,149998850.0,wait,"Heuristic decision from composite=60.8, R/R=18.37, expected_return=31.10%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=60.8, R/R=18.37, expected_return=31.10%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=60.8, R/R=18.37, expected_return=31.10%, setup=NO_CLEAR_SETUP.",,0
FPT,technology,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.6043751999999999,57.82679999999999,64.3536,60.43751999999999,57.0,30.0,75.0,77.268,70.0,0.0,66800.0,66132.0,67468.0,65464.0,76786.76499999998,81393.97089999999,63663.40213077612,0.1301743193527085,7.475123502994001,0.22123117102442613,0.428843841230223,0.34992498774535086,2245,149966000.0,wait,"Heuristic decision from composite=60.4, R/R=7.48, expected_return=13.02%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=60.4, R/R=7.48, expected_return=13.02%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=60.4, R/R=7.48, expected_return=13.02%, setup=NO_CLEAR_SETUP.",,0
BAB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.60244,60.952,59.182,60.244,79.0,54.0,49.22,66.08,50.0,0.0,11100.0,10989.0,11211.0,10878.0,10154.544000000002,13137.360114989251,8631.362400000002,-0.008125175135737184,-4.258810810810803,0.22223106004762555,0.377554923537669,0.40021401641470544,13513,149994300.0,wait,"Heuristic decision from composite=60.2, R/R=-4.26, expected_return=-0.81%, setup=UPTREND_CONTINUATION.","Heuristic decision from composite=60.2, R/R=-4.26, expected_return=-0.81%, setup=UPTREND_CONTINUATION.","Heuristic decision from composite=60.2, R/R=-4.26, expected_return=-0.81%, setup=UPTREND_CONTINUATION.",,0
VGI,technology,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.5971160000000001,58.394,61.688,59.711600000000004,58.0,48.0,75.0,63.94,50.0,0.0,82300.0,81477.0,83123.0,80654.0,94970.77199999998,100669.01831999999,77504.84037446318,0.132590077029638,7.697917375455639,0.2249948506172699,0.39398686856570797,0.38101828081702216,1822,149950600.0,wait,"Heuristic decision from composite=59.7, R/R=7.70, expected_return=13.26%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=59.7, R/R=7.70, expected_return=13.26%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=59.7, R/R=7.70, expected_return=13.26%, setup=NO_CLEAR_SETUP.",,0
BVB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.58752,60.028000000000006,56.837999999999994,58.752,86.0,48.0,44.18,57.919999999999995,50.0,0.0,13300.0,13167.0,13433.0,13034.0,9558.4,15097.066880390437,8124.639999999999,-0.14375718401968218,-14.066165413533836,0.23001944735461782,0.3800993444032354,0.3898812082421468,11278,149997400.0,wait,"Heuristic decision from composite=58.8, R/R=-14.07, expected_return=-14.38%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=58.8, R/R=-14.07, expected_return=-14.38%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=58.8, R/R=-14.07, expected_return=-14.38%, setup=PULLBACK_TO_MA20.",,0
CTR,technology,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.5837399999999999,55.81,62.22,58.373999999999995,50.0,38.0,75.0,77.10000000000001,55.0,0.0,70000.0,69300.0,70700.0,68600.0,80467.8,85295.868,66542.04926331276,0.1265061762734292,7.477000000000002,0.23201197935635837,0.4327455734407189,0.33524244720292273,2142,149940000.0,wait,"Heuristic decision from composite=58.4, R/R=7.48, expected_return=12.65%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=58.4, R/R=7.48, expected_return=12.65%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=58.4, R/R=7.48, expected_return=12.65%, setup=NO_CLEAR_SETUP.",,0
TCB,bank,HOLD_MONITOR,2,heuristic,heuristic,HOLD_MONITOR,HOLD_MONITOR,not_called,True,0.58085,57.14,59.502500000000005,58.085,71.0,30.0,58.775,65.85,65.0,0.0,31500.0,31185.0,31815.0,30870.0,34796.56166666667,36884.35536666667,29577.077416666667,0.08861955192705784,5.232637566137568,0.23353976578205976,0.4245148838302058,0.34194535038773444,4761,149971500.0,wait,"Heuristic decision from composite=58.1, R/R=5.23, expected_return=8.86%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=58.1, R/R=5.23, expected_return=8.86%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=58.1, R/R=5.23, expected_return=8.86%, setup=NO_CLEAR_SETUP.",,0
VPB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.57595,56.748000000000005,58.865500000000004,57.595,65.0,38.0,57.305,66.87,65.0,0.0,26000.0,25740.0,26260.0,25480.0,29145.026516666665,30893.728107666666,24734.57136955654,0.10356499614977954,6.0481279166666635,0.23613788029395436,0.42696134954042425,0.3369007701656215,5769,149994000.0,wait,"Heuristic decision from composite=57.6, R/R=6.05, expected_return=10.36%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=57.6, R/R=6.05, expected_return=10.36%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=57.6, R/R=6.05, expected_return=10.36%, setup=NO_CLEAR_SETUP.",,0
BID,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.5707,55.956,58.741,57.07,58.0,42.0,63.71,64.14,60.0,0.0,39300.0,38907.0,39693.0,38514.0,43302.702849999994,45900.865021,36807.29742249999,0.0845147151935477,5.092497264631036,0.23893087280203326,0.4259559634315371,0.33511316376642963,3816,149968800.0,wait,"Heuristic decision from composite=57.1, R/R=5.09, expected_return=8.45%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=57.1, R/R=5.09, expected_return=8.45%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=57.1, R/R=5.09, expected_return=8.45%, setup=NO_CLEAR_SETUP.",,0
OCB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.56184,55.172,57.702,56.184,74.0,24.0,53.42,69.88,55.0,0.0,10800.0,10692.0,10908.0,10584.0,13411.3257,14216.005242,10225.280110391624,0.19349640048267092,12.08947083333333,0.24366092067060222,0.4397531422218576,0.31658593710754024,13888,149990400.0,wait,"Heuristic decision from composite=56.2, R/R=12.09, expected_return=19.35%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=56.2, R/R=12.09, expected_return=19.35%, setup=PULLBACK_TO_MA20.","Heuristic decision from composite=56.2, R/R=12.09, expected_return=19.35%, setup=PULLBACK_TO_MA20.",,0
VCB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.55857,55.924,55.7565,55.857,66.0,44.0,59.915,48.410000000000004,55.0,0.0,59200.0,58608.0,59792.0,58016.0,38768.66739166666,63388.45659101668,32953.36728291666,-0.22587595454805542,-17.256193081362618,0.24541036166869942,0.4098827469248998,0.34470689140640076,2533,149953600.0,wait,"Heuristic decision from composite=55.9, R/R=-17.26, expected_return=-22.59%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=55.9, R/R=-17.26, expected_return=-22.59%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=55.9, R/R=-17.26, expected_return=-22.59%, setup=NO_CLEAR_SETUP.",,0
VIB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.55809,54.42399999999999,57.8865,55.809,58.0,36.0,59.615,69.00999999999999,60.0,0.0,15450.0,15295.5,15604.5,15141.0,19742.775274999996,20927.341791499995,14735.754089737766,0.22188382913025895,13.892476618122965,0.24566727700981003,0.44587292737152184,0.30845979561866815,9708,149988600.0,wait,"Heuristic decision from composite=55.8, R/R=13.89, expected_return=22.19%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=55.8, R/R=13.89, expected_return=22.19%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=55.8, R/R=13.89, expected_return=22.19%, setup=NO_CLEAR_SETUP.",,0
ELC,technology,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.545384,54.778,54.179,54.538399999999996,58.0,56.0,48.769999999999996,59.24,55.0,0.0,16200.0,16038.0,16362.0,15876.0,18627.630999999998,19745.288859999997,15409.36724663522,0.12180141788637067,7.492688271604931,0.25247263314384627,0.42714712658959186,0.32038024026656187,9259,149995800.0,wait,"Heuristic decision from composite=54.5, R/R=7.49, expected_return=12.18%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=54.5, R/R=7.49, expected_return=12.18%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=54.5, R/R=7.49, expected_return=12.18%, setup=NO_CLEAR_SETUP.",,0
TPB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.54376,53.64,55.480000000000004,54.376000000000005,58.0,42.0,50.0,68.4,60.0,0.0,15400.0,15246.0,15554.0,15092.0,16761.51048,17767.201108800004,14247.283908,0.06628783994872989,4.420488571428574,0.25334230383936573,0.45205198059521023,0.2946057155654241,9740,149996000.0,wait,"Heuristic decision from composite=54.4, R/R=4.42, expected_return=6.63%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=54.4, R/R=4.42, expected_return=6.63%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=54.4, R/R=4.42, expected_return=6.63%, setup=NO_CLEAR_SETUP.",,1
CTG,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.53444,50.992000000000004,57.12200000000001,53.444,50.0,24.0,66.62,68.68,60.0,0.0,32150.0,31828.5,32471.5,31507.0,42676.91673333333,45237.53173733333,30982.552537398577,0.25457865490797116,16.37156568170036,0.25832714413311947,0.4765964089640609,0.2650764469028196,4665,149979750.0,wait,"Heuristic decision from composite=53.4, R/R=16.37, expected_return=25.46%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=53.4, R/R=16.37, expected_return=25.46%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=53.4, R/R=16.37, expected_return=25.46%, setup=NO_CLEAR_SETUP.",,0
CMG,technology,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.5232168,51.4172,53.6784,52.32168,50.0,44.0,54.56,62.052,55.0,0.0,25900.0,25641.0,26159.0,25382.0,29793.855,31581.4863,24828.22204649555,0.11863368656584128,7.517094594594594,0.2643045418219189,0.46092021527027377,0.2747752429078074,5791,149986900.0,wait,"Heuristic decision from composite=52.3, R/R=7.52, expected_return=11.86%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=52.3, R/R=7.52, expected_return=11.86%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=52.3, R/R=7.52, expected_return=11.86%, setup=NO_CLEAR_SETUP.",,0
EIB,bank,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.49689,49.94,49.3125,49.689,57.0,42.0,41.675,51.05,60.0,0.0,19450.0,19255.5,19644.5,19061.0,11352.952000000001,21434.64202554148,9650.0092,-0.30974154979807955,-20.815033419023134,0.27811541327682776,0.46932876616277996,0.2525558205603923,7712,149998400.0,wait,"Heuristic decision from composite=49.7, R/R=-20.82, expected_return=-30.97%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=49.7, R/R=-20.82, expected_return=-30.97%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=49.7, R/R=-20.82, expected_return=-30.97%, setup=NO_CLEAR_SETUP.",,0
YEG,technology,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.4763552,48.214800000000004,46.7666,47.63552,50.0,50.0,41.629999999999995,43.888000000000005,55.0,0.0,8150.0,8068.5,8231.5,7987.0,9379.583999999999,9942.35904,7592.379825021661,0.1042097699195692,7.54346012269938,0.2885673094270935,0.47074268944055975,0.24069000113234673,18404,149992600.0,wait,"Heuristic decision from composite=47.6, R/R=7.54, expected_return=10.42%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=47.6, R/R=7.54, expected_return=10.42%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=47.6, R/R=7.54, expected_return=10.42%, setup=NO_CLEAR_SETUP.",,0
ITD,technology,IGNORE,4,heuristic,heuristic,IGNORE,IGNORE,not_called,True,0.4688432,47.288799999999995,46.2776,46.88432,58.0,32.0,50.0,29.888,55.0,0.0,15000.0,14850.0,15150.0,14700.0,12565.0,17175.33187529405,10680.25,-0.12625795522055072,-8.116666666666667,0.29229892028886956,0.4708328690822516,0.2368682106288788,10000,150000000.0,wait,"Heuristic decision from composite=46.9, R/R=-8.12, expected_return=-12.63%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=46.9, R/R=-8.12, expected_return=-12.63%, setup=NO_CLEAR_SETUP.","Heuristic decision from composite=46.9, R/R=-8.12, expected_return=-12.63%, setup=NO_CLEAR_SETUP.",,0
