symbol,sector,action,action_rank,decision_source,decision_engine,heuristic_action,llm_action,llm_status,decision_agreement,confidence,score_3m,score_1y,composite,technical_score,flow_score,fundamental_quality_score,valuation_score,insight_score,risk_penalty,current_price,entry_price_low,entry_price_high,stop_loss,base_target,bull_target,bear_target,expected_return,risk_reward,prob_bear,prob_base,prob_bull,suggested_quantity,suggested_position_value,buy_strategy,reason,heuristic_reason,llm_reason,llm_error,errors_count
LPB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.65,69.09200000000001,65.1995,67.53500000000001,87.0,68.0,72.845,43.230000000000004,55.0,0.0,52000.0,51480.0,52520.0,50891.05,34818.99,60725.45,29596.15,-0.11390873152411951,-15.49303584471792,0.18700166188168113,0.3407441139732573,0.4722542241450616,2884,149968000.0,pullback,"Mặc dù điểm số tổng hợp khá tốt (67.54) và xu hướng kỹ thuật mạnh, nhưng tỷ lệ rủi ro/lợi nhuận hiện tại đang âm do định giá cao (P/B 3.11). Cần theo dõi thêm sự cải thiện của dòng tiền và sự ổn định của vùng hỗ trợ MA20 trước khi giải ngân.","Heuristic decision from composite=67.5, R/R=-15.49, expected_return=-11.39%, setup=PULLBACK_TO_MA20.","Mặc dù điểm số tổng hợp khá tốt (67.54) và xu hướng kỹ thuật mạnh, nhưng tỷ lệ rủi ro/lợi nhuận hiện tại đang âm do định giá cao (P/B 3.11). Cần theo dõi thêm sự cải thiện của dòng tiền và sự ổn định của vùng hỗ trợ MA20 trước khi giải ngân.",,0
STB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.65,69.356,61.761,66.318,100.0,68.0,50.51,41.53999999999999,65.0,0.0,71800.0,71082.0,72518.0,69495.65,28098.82,80707.77,23883.99,-0.27717276166097204,-18.964644802221837,0.19246763759594898,0.33971478494062723,0.4678175774634238,2089,150000000.0,pullback,"STB đang trong nhịp điều chỉnh về MA20 với dòng tiền ngoại và tự doanh ngắn hạn cải thiện, tuy nhiên định giá P/E cao (28.44) và rủi ro kỹ thuật từ MACD âm cho thấy cần thận trọng.","Heuristic decision from composite=66.3, R/R=-18.96, expected_return=-27.72%, setup=PULLBACK_TO_MA20.","STB đang trong nhịp điều chỉnh về MA20 với dòng tiền ngoại và tự doanh ngắn hạn cải thiện, tuy nhiên định giá P/E cao (28.44) và rủi ro kỹ thuật từ MACD âm cho thấy cần thận trọng.",,0
MBB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.61,59.876000000000005,62.08100000000001,60.75800000000001,58.0,56.0,66.71000000000001,69.34,60.0,0.0,24150.0,23908.5,24391.5,23570.515,32750.017533333335,34715.01858533334,23275.22635976301,0.30150826286667454,14.840794038384646,0.2195811613272145,0.39268741056652123,0.3877314281062642,6211,150000000.0,staged_accumulation,"MBB có định giá hấp dẫn (P/E 6.22) và ROE tốt, tuy nhiên xu hướng kỹ thuật hiện tại chưa rõ ràng và áp lực bán ròng từ khối ngoại vẫn còn đáng kể.","Heuristic decision from composite=60.8, R/R=14.84, expected_return=30.15%, setup=NO_CLEAR_SETUP.","MBB có định giá hấp dẫn (P/E 6.22) và ROE tốt, tuy nhiên xu hướng kỹ thuật hiện tại chưa rõ ràng và áp lực bán ròng từ khối ngoại vẫn còn đáng kể.",,0
FPT,technology,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.65,57.82679999999999,64.3536,60.43751999999999,57.0,30.0,75.0,77.268,70.0,0.0,68000.0,67320.0,68680.0,66640.0,76786.76,81393.97,64616.02,0.11332930107431016,6.460856617647048,0.22123117102442613,0.428843841230223,0.34992498774535086,2205,149940000.0,staged_accumulation,"FPT có nền tảng cơ bản tốt (ROE cao, định giá hấp dẫn) nhưng đang chịu áp lực bán ròng mạnh từ khối ngoại và dòng tiền ngắn hạn yếu. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân từng phần.","Heuristic decision from composite=60.4, R/R=6.46, expected_return=11.33%, setup=NO_CLEAR_SETUP.","FPT có nền tảng cơ bản tốt (ROE cao, định giá hấp dẫn) nhưng đang chịu áp lực bán ròng mạnh từ khối ngoại và dòng tiền ngắn hạn yếu. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân từng phần.",,0
BAB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.55,60.952,59.182,60.244,79.0,54.0,49.22,66.08,50.0,0.0,11200.0,11088.0,11312.0,10976.0,10154.54,13156.12,8631.36,-0.01631084217374179,-4.667214285714278,0.22223106004762555,0.377554923537669,0.40021401641470544,13392,149990400.0,wait,"BAB đang trong xu hướng tăng nhưng chỉ số kỹ thuật yếu (MACD âm, thanh khoản thấp). Tỷ lệ rủi ro/lợi nhuận hiện tại không hấp dẫn do kỳ vọng lợi nhuận âm.","Heuristic decision from composite=60.2, R/R=-4.67, expected_return=-1.63%, setup=UPTREND_CONTINUATION.","BAB đang trong xu hướng tăng nhưng chỉ số kỹ thuật yếu (MACD âm, thanh khoản thấp). Tỷ lệ rủi ro/lợi nhuận hiện tại không hấp dẫn do kỳ vọng lợi nhuận âm.",,0
CTR,technology,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.65,57.910000000000004,63.620000000000005,60.194,57.0,38.0,75.0,77.10000000000001,55.0,0.0,70000.0,69300.0,70700.0,68600.0,80467.8,85295.868,66389.0457445047,0.1298624891468625,7.477000000000002,0.2224898225289343,0.41402031444220927,0.36348986302885644,2142,149940000.0,staged_accumulation,"CTR có nền tảng cơ bản tốt (ROE 30.5%, định giá hấp dẫn) nhưng dòng tiền khối ngoại đang rút mạnh và chỉ báo kỹ thuật chưa cho tín hiệu đảo chiều rõ ràng. Cần theo dõi thêm vùng hỗ trợ.","Heuristic decision from composite=60.2, R/R=7.48, expected_return=12.99%, setup=NO_CLEAR_SETUP.","CTR có nền tảng cơ bản tốt (ROE 30.5%, định giá hấp dẫn) nhưng dòng tiền khối ngoại đang rút mạnh và chỉ báo kỹ thuật chưa cho tín hiệu đảo chiều rõ ràng. Cần theo dõi thêm vùng hỗ trợ.",,0
BVB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.45,60.028000000000006,56.837999999999994,58.752,86.0,48.0,44.18,57.919999999999995,50.0,0.0,13300.0,13167.0,13433.0,13034.0,9558.4,15097.07,8124.64,-0.14375718401968218,-14.066165413533836,0.23001944735461782,0.3800993444032354,0.3898812082421468,11278,149997400.0,wait,"BVB cho thấy tín hiệu kỹ thuật pullback nhưng rủi ro giảm giá kỳ vọng cao do định giá P/B thấp nhưng ROE yếu. Dòng tiền từ khối ngoại và tự doanh không đồng nhất, cần chờ xác nhận xu hướng rõ ràng hơn.","Heuristic decision from composite=58.8, R/R=-14.07, expected_return=-14.38%, setup=PULLBACK_TO_MA20.","BVB cho thấy tín hiệu kỹ thuật pullback nhưng rủi ro giảm giá kỳ vọng cao do định giá P/B thấp nhưng ROE yếu. Dòng tiền từ khối ngoại và tự doanh không đồng nhất, cần chờ xác nhận xu hướng rõ ràng hơn.",,0
TCB,bank,WATCHLIST,1,llm,project_gemini,HOLD_MONITOR,WATCHLIST,success,False,0.55,57.14,59.502500000000005,58.085,71.0,30.0,58.775,65.85,65.0,0.0,31900.0,31581.0,32219.0,31262.0,34796.56,36884.36,29577.08,0.0749691500220162,4.540065308254966,0.23353976578205976,0.4245148838302058,0.34194535038773444,4702,149993800.0,pullback,TCB có định giá hấp dẫn (P/E 8.57) nhưng dòng tiền khối ngoại đang bán ròng mạnh và áp lực bán trên sổ lệnh (order-book imbalance) tiêu cực. Cần chờ tín hiệu dòng tiền ổn định hơn trước khi giải ngân.,"Heuristic decision from composite=58.1, R/R=4.54, expected_return=7.50%, setup=NO_CLEAR_SETUP.",TCB có định giá hấp dẫn (P/E 8.57) nhưng dòng tiền khối ngoại đang bán ròng mạnh và áp lực bán trên sổ lệnh (order-book imbalance) tiêu cực. Cần chờ tín hiệu dòng tiền ổn định hơn trước khi giải ngân.,,0
VPB,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,56.748000000000005,58.865500000000004,57.595,65.0,38.0,57.305,66.87,65.0,0.0,26000.0,25740.0,26260.0,25480.0,29145.03,30893.73,24734.57,0.10356499614977954,6.0481279166666635,0.23613788029395436,0.42696134954042425,0.3369007701656215,5769,150000000.0,staged_accumulation,VPB có định giá hấp dẫn (P/B 1.1) nhưng đang chịu áp lực bán ròng mạnh từ khối ngoại và dòng tiền ngắn hạn yếu. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân.,"Heuristic decision from composite=57.6, R/R=6.05, expected_return=10.36%, setup=NO_CLEAR_SETUP.",VPB có định giá hấp dẫn (P/B 1.1) nhưng đang chịu áp lực bán ròng mạnh từ khối ngoại và dòng tiền ngắn hạn yếu. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân.,,0
BID,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,55.956,58.741,57.07,58.0,42.0,63.71,64.14,60.0,0.0,39300.0,38907.0,39693.0,38514.0,43302.7,45900.87,36807.3,0.0845147151935477,5.092497264631036,0.23893087280203326,0.4259559634315371,0.33511316376642963,3816,150000000.0,staged_accumulation,"BID có định giá hấp dẫn (P/E 8.97) và chỉ số chất lượng tốt, tuy nhiên áp lực bán ròng từ khối ngoại vẫn còn lớn và xu hướng kỹ thuật chưa rõ ràng.","Heuristic decision from composite=57.1, R/R=5.09, expected_return=8.45%, setup=NO_CLEAR_SETUP.","BID có định giá hấp dẫn (P/E 8.97) và chỉ số chất lượng tốt, tuy nhiên áp lực bán ròng từ khối ngoại vẫn còn lớn và xu hướng kỹ thuật chưa rõ ràng.",,0
OCB,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,55.172,57.702,56.184,74.0,24.0,53.42,69.88,55.0,0.0,10800.0,10692.0,10908.0,10584.0,13411.33,14216.01,10225.28,0.19349640048267092,12.08947083333333,0.24366092067060222,0.4397531422218576,0.31658593710754024,13888,149990400.0,pullback,"OCB shows attractive valuation (P/B 0.82) and a technical pullback setup, but is currently hampered by negative foreign and proprietary flow and low volume ratio, suggesting a lack of immediate institutional conviction.","Heuristic decision from composite=56.2, R/R=12.09, expected_return=19.35%, setup=PULLBACK_TO_MA20.","OCB shows attractive valuation (P/B 0.82) and a technical pullback setup, but is currently hampered by negative foreign and proprietary flow and low volume ratio, suggesting a lack of immediate institutional conviction.",,0
VCB,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.45,55.924,55.7565,55.857,66.0,44.0,59.915,48.410000000000004,55.0,0.0,59400.0,58806.0,59994.0,58212.0,38768.67,63739.28,32953.37,-0.22644654673991116,-17.366441589506177,0.24541036166869942,0.4098827469248998,0.34470689140640076,2525,149985000.0,wait,"VCB đang trong xu hướng điều chỉnh với áp lực bán ròng mạnh từ khối ngoại và chỉ báo kỹ thuật chưa cho tín hiệu đảo chiều rõ ràng. Mặc dù định giá P/B ở mức 2.11 là hợp lý cho một ngân hàng chất lượng, nhưng rủi ro giảm giá ngắn hạn vẫn cao.","Heuristic decision from composite=55.9, R/R=-17.37, expected_return=-22.64%, setup=NO_CLEAR_SETUP.","VCB đang trong xu hướng điều chỉnh với áp lực bán ròng mạnh từ khối ngoại và chỉ báo kỹ thuật chưa cho tín hiệu đảo chiều rõ ràng. Mặc dù định giá P/B ở mức 2.11 là hợp lý cho một ngân hàng chất lượng, nhưng rủi ro giảm giá ngắn hạn vẫn cao.",,0
VIB,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,54.42399999999999,57.8865,55.809,58.0,36.0,59.615,69.00999999999999,60.0,0.0,15450.0,15295.5,15604.5,15141.0,19742.78,20927.34,14757.74,0.22223334582988685,13.892476618122965,0.24566727700981003,0.44587292737152184,0.30845979561866815,9708,149987460.0,staged_accumulation,"VIB có định giá hấp dẫn (P/B 1.07) và tỷ lệ rủi ro/lợi nhuận tốt, nhưng xu hướng kỹ thuật hiện tại chưa rõ ràng và áp lực bán ròng từ khối ngoại vẫn còn lớn.","Heuristic decision from composite=55.8, R/R=13.89, expected_return=22.22%, setup=NO_CLEAR_SETUP.","VIB có định giá hấp dẫn (P/B 1.07) và tỷ lệ rủi ro/lợi nhuận tốt, nhưng xu hướng kỹ thuật hiện tại chưa rõ ràng và áp lực bán ròng từ khối ngoại vẫn còn lớn.",,0
ELC,technology,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,54.778,54.179,54.538399999999996,58.0,56.0,48.769999999999996,59.24,55.0,0.0,16000.0,15840.0,16160.0,15680.0,18627.63,19745.29,15165.84,0.13198120379694855,8.211346874999993,0.25247263314384627,0.42714712658959186,0.32038024026656187,9375,150000000.0,pullback,ELC đang trong trạng thái tích lũy với định giá hấp dẫn (P/E 13.42) nhưng xu hướng kỹ thuật chưa rõ ràng và dòng tiền yếu (order-book imbalance âm). Cần theo dõi thêm sự cải thiện của khối lượng giao dịch trước khi giải ngân.,"Heuristic decision from composite=54.5, R/R=8.21, expected_return=13.20%, setup=NO_CLEAR_SETUP.",ELC đang trong trạng thái tích lũy với định giá hấp dẫn (P/E 13.42) nhưng xu hướng kỹ thuật chưa rõ ràng và dòng tiền yếu (order-book imbalance âm). Cần theo dõi thêm sự cải thiện của khối lượng giao dịch trước khi giải ngân.,,0
TPB,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.55,53.64,55.480000000000004,54.376000000000005,58.0,42.0,50.0,68.4,60.0,0.0,15400.0,15246.0,15554.0,15092.0,16761.51,17767.2,14247.28,0.06628783994872989,4.420488571428574,0.25334230383936573,0.45205198059521023,0.2946057155654241,9740,150000000.0,staged_accumulation,TPB có định giá P/B hấp dẫn (0.88) nhưng dòng tiền khối ngoại đang bán ròng mạnh và xu hướng kỹ thuật chưa rõ ràng. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân.,"Heuristic decision from composite=54.4, R/R=4.42, expected_return=6.63%, setup=NO_CLEAR_SETUP.",TPB có định giá P/B hấp dẫn (0.88) nhưng dòng tiền khối ngoại đang bán ròng mạnh và xu hướng kỹ thuật chưa rõ ràng. Cần theo dõi vùng hỗ trợ hiện tại trước khi giải ngân.,,0
CTG,bank,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.45,50.992000000000004,57.12200000000001,53.444,50.0,24.0,66.62,68.68,60.0,0.0,32299.999999999996,31977.0,32623.0,31654.0,42676.92,45237.53,31087.37,0.24959074322480568,16.06333859649123,0.25832714413311947,0.4765964089640609,0.2650764469028196,4643,149964000.0,wait,CTG có định giá hấp dẫn (P/E 4.96) nhưng dòng tiền đang rất tiêu cực với áp lực bán ròng mạnh từ khối ngoại và tự doanh. Cần chờ tín hiệu cân bằng cung cầu trước khi giải ngân.,"Heuristic decision from composite=53.4, R/R=16.06, expected_return=24.96%, setup=NO_CLEAR_SETUP.",CTG có định giá hấp dẫn (P/E 4.96) nhưng dòng tiền đang rất tiêu cực với áp lực bán ròng mạnh từ khối ngoại và tự doanh. Cần chờ tín hiệu cân bằng cung cầu trước khi giải ngân.,,0
CMG,technology,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.45,51.4172,53.6784,52.32168,50.0,44.0,54.56,62.052,55.0,0.0,25900.0,25641.0,26159.0,25382.0,29793.855,31581.4863,24790.4919,0.11824865764697967,7.517094594594594,0.2643045418219189,0.46092021527027377,0.2747752429078074,5791,150000000.0,staged_accumulation,"CMG đang ở vùng quá bán (RSI 28.2) với định giá P/E hấp dẫn, tuy nhiên dòng tiền khối ngoại vẫn rút ròng mạnh và xu hướng kỹ thuật chưa rõ ràng. Cần theo dõi thêm sự ổn định của dòng tiền trước khi giải ngân mạnh.","Heuristic decision from composite=52.3, R/R=7.52, expected_return=11.82%, setup=NO_CLEAR_SETUP.","CMG đang ở vùng quá bán (RSI 28.2) với định giá P/E hấp dẫn, tuy nhiên dòng tiền khối ngoại vẫn rút ròng mạnh và xu hướng kỹ thuật chưa rõ ràng. Cần theo dõi thêm sự ổn định của dòng tiền trước khi giải ngân mạnh.",,0
YEG,technology,WATCHLIST,1,llm,project_gemini,IGNORE,WATCHLIST,success,False,0.45,48.214800000000004,46.7666,47.63552,50.0,50.0,41.629999999999995,43.888000000000005,55.0,0.0,8080.0,7999.2,8160.8,7918.4,9379.58,9942.36,7510.78,0.1108617510199128,8.041980198019777,0.2885673094270935,0.47074268944055975,0.24069000113234673,18564,150000000.0,staged_accumulation,"YEG đang ở vùng giá hấp dẫn với P/B thấp (0.73), tuy nhiên xu hướng kỹ thuật chưa rõ ràng và áp lực bán từ khối ngoại vẫn còn lớn. Cần theo dõi thêm sự ổn định của dòng tiền nội bộ.","Heuristic decision from composite=47.6, R/R=8.04, expected_return=11.09%, setup=NO_CLEAR_SETUP.","YEG đang ở vùng giá hấp dẫn với P/B thấp (0.73), tuy nhiên xu hướng kỹ thuật chưa rõ ràng và áp lực bán từ khối ngoại vẫn còn lớn. Cần theo dõi thêm sự ổn định của dòng tiền nội bộ.",,0
